"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-A5-A0GH-01A-21R-A16W-07",21.4953,81.6505,8.6029,79.2704,33.6223
"TCGA-AJ-A3BK-01A-11R-A19W-07",17.3032,57.2248,6.8613,39.4873,13.3217
"TCGA-SJ-A6ZI-01A-12R-A34R-07",43.8562,50.6326,5.2014,207.1607,49.4701
"TCGA-AJ-A2QN-01A-11R-A18M-07",33.0156,58.2262,8.6317,105.4668,53.7655
"TCGA-FI-A2D4-01A-12R-A17B-07",11.0867,77.2701,7.2269,80.6326,19.3453
"TCGA-AJ-A3EJ-01A-11R-A19W-07",20.8214,110.8356,4.6246,94.249,17.9724
"TCGA-B5-A1MX-01A-11R-A144-07",15.6305,58.8361,7.3557,51.7563,15.238
"TCGA-B5-A11N-01A-11R-A118-07",11.852,17.9966,3.2786,68.4735,47.601
"TCGA-EO-A1Y5-01A-11R-A157-07",24.4762,66.7913,5.475,177.7793,10.0813
"TCGA-EY-A72D-01A-12R-A34R-07",27.3681,110.5021,10.3399,74.1535,28.3638
"TCGA-B5-A0JT-01A-21R-A118-07",37.6452,89.1131,11.6467,126.8662,25.6611
"TCGA-BS-A0U5-01A-11R-A109-07",28.4957,59.9052,7.5425,407.1981,23.8125
"TCGA-BK-A26L-01A-11R-A16F-07",29.69,74.9759,5.8198,54.857,127.4557
"TCGA-DF-A2KU-01A-11R-A180-07",12.2233,41.2476,5.8815,21.3232,6.0081
"TCGA-A5-A0GM-01A-11R-A040-07",14.6971,34.3127,3.6418,53.029,54.4904
"TCGA-AJ-A3EM-01A-11R-A213-07",32.6464,109.1665,5.796,87.6356,37.8103
"TCGA-EO-A3AY-01A-12R-A19W-07",8.7939,32.9568,7.0953,150.1867,4.0874
"TCGA-BS-A0T9-01A-11R-A12I-07",14.0153,31.7254,4.7133,43.7775,22.1955
"TCGA-AP-A05A-01A-11R-A00V-07",8.7543,43.2883,2.5616,14.4457,1.7181
"TCGA-B5-A11G-01A-13R-A118-07",11.6348,23.2298,2.7189,9.7169,20.4265
"TCGA-AP-A05O-01A-12R-A118-07",24.8124,57.5925,9.3711,54.4781,9.6799
"TCGA-BG-A0VW-01A-11R-A118-07",13.4337,17.4667,2.7201,33.1245,14.7452
"TCGA-KP-A3W3-01A-11R-A22K-07",35.6399,77.303,6.5345,12.4143,34.7376
"TCGA-BG-A0MC-01A-21R-A040-07",7.0854,23.6887,2.9961,241.7428,11.335
"TCGA-A5-A0R6-01A-11R-A104-07",16.8342,64.959,3.7262,102.7747,17.4785
"TCGA-B5-A3F9-01A-21R-A22K-07",34.4585,54.2721,8.6723,63.3554,17.0599
"TCGA-AJ-A23N-01A-11R-A22K-07",32.2648,111.6442,5.9234,26.4037,12.7248
"TCGA-BG-A0M8-01A-12R-A104-07",5.4458,18.371,2.0215,64.0386,29.8565
