,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-D5-6930-01A-11R-1928-07,19.8837,54.5045,8.0298,45.4863,22.4746,0.26713439
TCGA-AZ-5407-01A-01R-1723-07,27.447,61.7288,6.6598,28.3294,36.4571,0.1741023
TCGA-QG-A5YX-01A-11R-A28H-07,27.3116,74.5738,10.2744,31.9707,13.1037,0.11457807
TCGA-AD-6888-01A-11R-1928-07,19.5042,65.0405,7.0452,135.1941,5.0138,0.01936883
TCGA-AZ-4616-01A-21R-1839-07,11.5594,80.6824,13.2402,135.7948,14.8345,0.32073224
TCGA-G4-6627-01A-11R-1774-07,20.2144,47.7801,8.5082,101.1116,60.9289,0.43833663
TCGA-AA-3662-01A-01R-1723-07,31.1251,52.2858,9.3263,37.3167,29.683,0.13212191
TCGA-AD-6899-01A-11R-1928-07,28.1623,67.3392,6.8973,111.5675,39.7027,0.48693753
TCGA-CK-5912-01A-11R-1653-07,50.257,83.5666,10.5444,36.3718,137.6285,0.5097681
TCGA-F4-6460-01A-11R-1774-07,13.8006,54.5846,5.8106,44.4985,160.791,0.26547209
TCGA-G4-6303-01A-11R-1774-07,27.0188,67.965,5.8548,127.9005,64.8972,0.22979041
TCGA-D5-5540-01A-01R-1653-07,24.2145,119.8523,18.3522,84.6069,16.482,0.08169749
TCGA-CA-6715-01A-21R-1839-07,31.8281,95.8915,21.3955,143.2058,40.1434,0.18423876
TCGA-G4-6321-01A-11R-1723-07,27.3177,18.0217,4.0177,78.2972,8.8015,0.04046567
TCGA-AD-6890-01A-11R-1928-07,17.033,59.8505,13.0141,108.8103,20.9855,0.14211933
TCGA-AZ-6608-01A-11R-1839-07,21.7188,56.7378,8.4936,54.1662,17.8915,0.16846042
TCGA-DM-A28H-01A-11R-A16W-07,11.1713,65.0306,13.4696,24.8946,27.5016,0.23032681
TCGA-F4-6461-01A-11R-1774-07,30.0037,39.0696,7.5681,41.0439,55.1623,0.5433174
TCGA-CM-5862-01A-01R-1653-07,28.0426,106.155,8.1112,25.4504,46.3254,0.52395894
TCGA-CM-6678-01A-11R-1839-07,16.8806,46.008,6.9671,108.5081,41.3107,0.23181841
TCGA-A6-2686-01A-01R-A32Z-07,25.0465,72.3884,5.7393,144.0147,27.7821,0.27228627
TCGA-NH-A50U-01A-33R-A37K-07,20.6305,52.0892,7.2596,82.6955,33.4012,0.25903822
TCGA-5M-AAT6-01A-11R-A41B-07,27.19,49.7939,9.0604,101.8226,27.9023,0.41844661
TCGA-G4-6309-01A-21R-1839-07,34.0252,58.5066,10.3593,113.9624,12.5361,0.10273256
TCGA-A6-2684-01A-01R-1410-07,11.5928,64.5394,8.2438,214.3812,19.486,0.25356298
TCGA-A6-5656-01A-21R-1839-07,21.2639,37.6653,6.2837,31.6189,13.1327,0.03237502
TCGA-5M-AAT4-01A-11R-A41B-07,16.7851,89.3339,5.5613,154.0791,33.7617,0.12971895
TCGA-CM-6172-01A-11R-1653-07,48.0647,73.1537,9.3322,58.0395,69.3892,0.16647736
TCGA-D5-6539-01A-11R-1723-07,32.3224,51.9851,6.0292,46.8451,56.8835,0.38095565
TCGA-CA-5254-01A-21R-1839-07,12.1618,50.627,12.1885,217.7494,12.5593,0.17559052
TCGA-CK-6748-01A-11R-1839-07,21.2782,52.495,5.2017,249.6231,53.3813,0.46312953
TCGA-AD-6889-01A-11R-1928-07,21.2208,45.2868,9.1565,307.9779,8.8004,0.14598489
TCGA-NH-A8F8-01A-72R-A41B-07,12.8178,49.3929,7.8523,75.755,22.8525,0.26823871
TCGA-F4-6459-01A-11R-1774-07,27.6165,74.667,8.287,75.1342,124.3722,0.47038093
TCGA-G4-6307-01A-11R-1723-07,17.7013,55.3694,4.6913,17.9648,10.8314,0.04635872
TCGA-AA-3655-01A-02R-1723-07,31.8994,58.6743,9.0238,64.2362,31.8169,0.20106304
TCGA-AZ-6601-01A-11R-1774-07,34.7766,63.1034,10.0904,45.5647,22.384,0.2883748
TCGA-AD-6965-01A-11R-1928-07,38.1849,87.6101,11.429,150.0529,84.8501,0.17842822
TCGA-G4-6317-01A-11R-1723-07,18.1389,79.2299,5.4151,43.8863,6.2579,0.02491765
TCGA-D5-6932-01A-11R-1928-07,18.1659,55.4388,3.979,45.7674,21.3922,0.33449472
TCGA-D5-5539-01A-01R-1653-07,20.0842,52.0661,5.0836,79.8323,27.2052,0.23910243
TCGA-AA-3526-01A-02R-A32Z-07,42.8851,75.7108,14.8155,91.7448,18.0409,0.17314583
TCGA-A6-5659-01A-01R-1653-07,31.161,81.6125,7.9737,67.4227,60.5207,0.19597622
TCGA-CA-6719-01A-11R-1839-07,31.2023,79.6582,6.8577,70.4375,59.1656,0.41821273
TCGA-D5-6537-01A-11R-1723-07,27.9798,95.3887,10.6702,121.3361,4.3191,0.05083117
TCGA-CM-6168-01A-11R-1653-07,37.3515,57.5385,11.7411,99.7807,90.4139,0.40822887
TCGA-CM-5864-01A-01R-1653-07,32.0463,66.8908,12.6983,18.3638,62.3034,0.23832646
TCGA-DM-A28G-01A-11R-A16W-07,17.9463,34.2335,6.9298,41.8514,26.1803,0.07108836
TCGA-CM-6675-01A-11R-1839-07,44.7993,89.4523,14.9202,182.096,4.5526,0.10591908
TCGA-D5-5541-01A-01R-1653-07,37.6434,83.8899,10.3074,74.1265,45.736,0.20109888
